,a,b,c,d,e,f,g,h,i,j
ex_0,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ex_1,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ex_2,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
ex_3,0.1666666666666666,0.1666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.0,0.0,0.0,0.0,0.0
ex_4,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.0,0.0,0.0
ex_5,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
ex_6,0.125,0.125,0.25,0.125,0.125,0.375,0.25,0.5,0.0,0.0
ex_7,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.3
ex_8,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ex_9,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ex_10,0.2,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0
ex_11,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
ex_12,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,0.0,0.0,0.0,0.0
ex_13,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.0,0.0,0.0,0.0
ex_14,0.125,0.125,0.25,0.375,0.25,0.5,0.375,0.375,0.0,0.0
