,a,b,c,d,e,f,g,h,i,j
ex_0,0.8112781244591328,0.8112781244591328,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ex_1,0.8112781244591328,0.8112781244591328,0.8112781244591328,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ex_2,0.7219280948873623,0.7219280948873623,0.9709505944546686,0.9709505944546686,0.0,0.0,0.0,0.0,0.0,0.0
ex_3,0.6500224216483541,0.6500224216483541,1.0,0.9182958340544896,0.6500224216483541,0.0,0.0,0.0,0.0,0.0
ex_4,0.5916727785823274,0.5916727785823274,0.5916727785823274,0.5916727785823274,0.9852281360342516,0.9852281360342516,0.9852281360342516,0.0,0.0,0.0
ex_5,0.5916727785823274,0.863120568566631,0.9852281360342516,0.5916727785823274,0.5916727785823274,0.863120568566631,0.863120568566631,0.0,0.0,0.0
ex_6,0.5435644431995964,0.5435644431995964,0.8112781244591328,0.5435644431995964,0.5435644431995964,0.9544340029249648,0.8112781244591328,1.0,0.0,0.0
ex_7,0.4689955935892812,0.4689955935892812,0.4689955935892812,0.4689955935892812,0.7219280948873623,0.7219280948873623,0.4689955935892812,0.4689955935892812,0.7219280948873623,0.8812908992306927
ex_8,0.9182958340544896,0.9182958340544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ex_9,0.8112781244591328,1.0,0.8112781244591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ex_10,0.7219280948873623,0.7219280948873623,0.7219280948873623,0.9709505944546686,0.9709505944546686,0.0,0.0,0.0,0.0,0.0
ex_11,0.6500224216483541,0.6500224216483541,0.6500224216483541,1.0,0.9182958340544896,0.0,0.0,0.0,0.0,0.0
ex_12,0.6500224216483541,0.6500224216483541,0.9182958340544896,0.9182958340544896,0.6500224216483541,0.0,0.0,0.0,0.0,0.0
ex_13,0.5916727785823274,0.863120568566631,0.5916727785823274,0.9852281360342516,0.9852281360342516,0.5916727785823274,0.0,0.0,0.0,0.0
ex_14,0.5435644431995964,0.5435644431995964,0.8112781244591328,0.9544340029249648,0.8112781244591328,1.0,0.9544340029249648,0.9544340029249648,0.0,0.0
